NP_999796.1	WEE1-like CDK tyrosine kinase
NP_999797.1	winged helix transcription factor Forkhead-1
NP_999798.1	amassin precursor
NP_999800.1	homeodomain protein NK2.1
NP_999801.1	receptor for egg jelly 3 precursor
NP_999802.1	receptor for egg jelly 2 protein precursor
NP_999804.1	spicule matrix protein SM29 precursor
NP_999805.1	C-type lectin domain protein precursor
NP_999806.1	primary mesenchyme specific protein MSP130-related-1 precursor
NP_999807.1	primary mesenchyme specific protein MSP130-related-2 precursor
NP_999808.1	heat shock protein gp96 precursor
NP_999809.1	aristaless-like homeobox protein
NP_999810.1	Lim homeodomain transcription factor 1
NP_999811.1	biomineralization protein SpP16 precursor
NP_999812.1	biomineralization proteins SpP19L long form
NP_999813.1	MAP kinase
NP_999814.1	ATP-binding cassette transporter subfamily A
NP_999815.2	homeobox protein Splox
NP_999816.1	even-skipped-like protein
NP_999818.2	upstream stimulatory factor
NP_999819.1	NFkB protein
NP_999820.1	protein DVR-1 homolog precursor
NP_999821.1	transcription factor GCF1
NP_999823.1	kinesin-associated protein 3
NP_999824.2	ONECUT transcription factor HNF6 beta
NP_999825.1	zinc-finger transcription factor Snail
NP_999826.1	glial cells missing-like protein
NP_999828.1	flagellar protofilament ribbon protein rib74
NP_999829.1	cell surface protein p160 precursor
NP_999830.1	egg bindin receptor 1 precursor
NP_999831.1	stem-loop binding protein
NP_999832.1	Wnt8 protein
NP_999833.1	transcription factor Erg
NP_999834.1	syntaxin binding protein 1
NP_999835.1	guanine nucleotide-binding protein G(q) alpha subunit
NP_999836.1	echinoidin precursor
XP_001175481.2	dnaJ homolog subfamily B member 1
XP_001175485.4	histone H4
XP_001175486.2	uncharacterized protein LOC752400
XP_001175489.2	uncharacterized protein LOC752017
XP_001175503.2	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
XP_001175504.1	DNA-directed RNA polymerase II subunit RPB7
XP_001175505.3	histone H4-like
XP_001175508.3	uncharacterized protein LOC752055
XP_001175598.3	serum paraoxonase/arylesterase 1-like
XP_001175610.1	synaptophysin
XP_001175635.2	uncharacterized protein LOC752647 isoform X1
XP_001175653.1	outer spore wall assembly protein SHE10-like
XP_001175654.3	probable palmitoyltransferase ZDHHC1 isoform X2
XP_001175735.1	uncharacterized protein LOC752039
